,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]"
655,1,0,2,1,0,1
656,0,0,0,2,2,2
657,0,0,0,0,0,18
658,0,0,1,0,8,3
659,2,1,0,0,0,0
660,1,7,0,15,0,0
661,0,0,4,0,2,3
662,0,0,4,0,8,0
663,2,2,0,8,0,0
664,0,0,3,0,0,0
665,1,6,0,21,0,10
666,1,5,0,14,0,5
667,2,1,6,8,18,4
668,2,4,2,11,3,0
669,1,1,1,6,1,6
670,1,0,2,1,0,3
671,1,0,1,2,2,4
672,1,7,5,1,1,0
673,0,0,2,0,1,0
674,1,0,0,1,1,2
675,1,2,1,25,23,0
676,3,1,0,4,0,7
677,1,5,5,25,5,6
678,0,2,2,2,2,3
679,0,1,1,2,4,3
680,3,0,0,5,0,5
681,1,3,2,28,28,0
682,1,1,3,3,7,1
683,1,1,0,1,9,10
684,0,4,4,1,1,0
685,1,1,0,8,0,6
686,0,0,6,0,1,1
687,2,3,0,17,0,27
688,2,3,0,6,0,0
689,0,3,3,3,3,6
690,2,7,0,3,0,0
691,1,1,0,0,1,1
692,0,0,0,0,0,7
693,0,0,3,0,0,0
694,2,3,1,5,23,0
695,0,2,2,9,8,12
696,0,2,2,1,2,1
697,2,2,0,10,0,6
698,0,0,5,0,25,0
699,1,3,4,9,25,7
700,1,2,1,0,0,0
701,0,2,2,1,2,1
702,1,2,0,3,0,8
703,0,0,0,0,0,0
704,1,3,0,7,0,17
705,2,0,0,7,6,15
706,0,3,3,31,20,0
707,1,1,1,1,2,4
708,0,0,0,0,0,23
709,0,3,3,2,1,0
710,2,2,4,2,2,0
711,0,0,0,0,0,1
712,0,0,0,0,0,0
713,0,0,5,0,22,37
714,0,0,0,0,0,0
715,2,2,0,4,0,1
716,0,0,7,0,13,14
717,1,2,2,8,3,0
718,1,2,0,28,0,33
719,0,5,5,16,7,1
720,1,1,2,1,10,8
721,0,0,0,0,0,0
722,0,0,4,0,26,0
723,1,2,0,0,0,0
724,2,2,0,2,0,6
725,1,4,2,13,20,0
726,0,1,1,7,7,7
727,1,2,2,5,15,9
728,1,0,0,1,0,1
729,0,0,0,0,1,1
730,1,1,4,27,14,19
731,1,1,1,0,2,1
732,1,2,2,4,3,5
733,1,4,3,10,11,0
734,0,0,3,0,8,0
735,0,0,0,0,19,26
736,2,5,0,10,0,0
737,0,5,5,17,22,2
738,1,3,2,14,3,0
739,0,0,4,0,7,0
740,1,5,0,0,0,9
741,0,0,0,3,3,3
742,2,0,1,1,0,3
743,0,0,1,0,2,14
744,2,3,0,2,0,0
745,0,0,1,0,7,5
746,0,0,0,0,0,0
747,0,0,0,0,0,0
748,3,2,0,8,0,0
749,0,0,2,0,7,15
750,2,1,0,6,0,4
751,2,1,2,11,1,11
752,3,4,0,6,0,0
753,0,0,2,0,7,3
754,1,5,0,7,0,0
755,0,0,2,0,3,15
756,2,4,0,14,0,30
757,0,0,4,0,12,14
758,0,0,2,0,0,0
759,3,7,0,18,0,14
760,1,6,15,0,28,0
761,0,3,3,4,2,3
762,2,2,0,5,0,16
763,2,1,2,2,0,0
764,0,0,0,0,0,4
765,2,5,0,11,0,7
766,0,11,11,0,1,0
767,0,2,2,3,3,0
768,2,1,1,0,0,0
769,1,1,2,20,77,43
770,0,3,3,2,2,3
771,0,0,2,0,1,6
772,1,3,7,4,7,0
773,1,2,1,5,40,33
774,0,0,4,0,1,4
775,0,0,0,0,6,6
776,0,0,0,0,3,4
777,1,0,3,3,5,11
778,0,1,1,2,5,5
779,0,0,4,0,5,0
780,0,0,0,0,0,13
781,1,2,5,0,2,5
782,3,1,0,4,0,4
783,0,0,7,0,14,0
784,1,1,1,5,28,20
785,0,0,2,0,1,20
786,0,1,1,0,2,2
787,0,0,0,0,0,8
788,1,2,3,22,2,0
789,0,0,8,0,2,0
790,0,0,2,0,10,11
791,1,0,1,6,3,10
792,1,2,1,5,2,0
793,3,3,0,16,0,0
794,0,0,1,0,2,1
795,0,2,2,8,4,5
796,1,5,3,20,7,20
797,1,4,3,6,3,0
798,1,1,2,0,0,0
799,1,3,2,16,2,14
800,1,1,2,3,4,4
801,1,1,1,0,0,0
802,0,0,0,0,0,5
803,0,0,0,0,0,0
804,0,0,0,0,6,9
805,1,6,6,13,27,0
806,0,0,0,0,2,2
807,2,3,0,3,0,0
808,0,1,1,13,7,9
809,0,3,3,29,14,17
810,0,0,0,0,0,7
811,2,3,0,1,0,0
812,1,7,7,7,6,0
813,0,0,4,0,28,4
814,0,4,4,3,4,0
815,1,2,5,11,12,0
816,3,1,0,15,0,14
817,2,1,2,0,0,4
818,0,0,4,0,0,0
819,1,1,1,4,2,4
820,0,8,8,30,22,0
821,1,2,1,18,1,15
822,1,4,4,4,1,0
823,0,3,3,2,3,2
824,0,0,0,0,0,0
825,1,2,1,0,0,0
826,1,2,2,3,2,0
827,1,4,2,6,1,1
828,0,3,3,14,32,0
829,1,2,0,67,0,48
830,0,0,2,0,10,0
831,1,1,1,0,1,2
832,0,0,0,0,2,2
833,1,1,8,2,10,17
834,0,0,0,0,0,6
835,1,3,2,12,19,8
836,0,0,2,0,11,0
837,2,3,0,37,0,28
838,1,1,0,0,1,1
839,0,9,9,8,6,0
840,0,0,0,0,0,0
841,0,0,1,0,8,12
842,1,5,7,1,8,0
843,0,0,4,0,9,17
844,1,1,0,0,0,0
845,0,0,0,0,0,0
846,2,4,0,7,0,0
847,1,1,2,19,9,0
848,0,0,0,0,0,0
849,0,0,3,0,19,0
850,1,0,0,1,2,3
851,0,3,3,4,4,1
852,0,3,3,18,29,24
853,2,3,2,3,1,9
854,1,1,1,25,21,23
855,0,0,5,0,0,0
856,0,0,6,0,16,0
857,0,0,0,0,0,10
858,1,3,0,21,0,0
859,1,1,1,5,1,11
860,2,0,0,19,0,19
861,0,2,2,2,2,3
862,0,0,0,0,0,8
863,2,5,0,13,0,10
864,0,0,3,0,7,5
865,1,1,5,4,31,28
866,0,0,4,0,4,1
867,1,1,0,5,0,6
868,1,7,4,23,8,0
869,0,0,0,0,0,5
870,1,0,1,10,8,28
871,1,10,0,13,0,0
872,0,3,3,1,2,4
873,2,2,3,5,4,8
874,0,0,0,0,0,8
875,0,0,2,0,16,19
876,2,0,3,10,2,10
877,0,0,0,0,0,16
878,0,5,5,31,28,0
879,1,0,0,11,16,22
880,0,1,1,12,14,15
881,1,3,8,5,3,0
882,0,0,1,0,15,16
883,0,0,0,0,0,0
884,1,3,3,3,11,8
885,1,4,3,17,4,0
886,2,1,0,2,0,8
887,0,0,2,0,13,13
888,2,2,3,10,3,6
889,1,0,0,2,1,2
890,1,1,2,0,2,1
891,0,0,0,0,0,0
892,0,0,0,0,0,19
893,0,1,1,12,6,11
894,1,1,0,0,0,0
895,1,1,1,0,11,12
896,1,2,0,24,0,19
897,3,2,0,3,0,21
898,1,1,6,0,0,0
899,0,0,9,0,40,16
